"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","Firefox Version","Default Browser","Search Engine","Sync Setup","Shield ID","Branch","Why did you uninstall the Firefox Private Network?","Other:Why did you uninstall the Firefox Private Network?","What sort of problems did you have with Firefox Private Network?","Other:What sort of problems did you have with Firefox Private Network?"
"21","Sep 9, 2019 4:24:00 pm","Sep 9, 2019 4:30:34 pm","Complete","","","English","","1568071440_5d76df100b0853.27235621","","","","","","","","","I no longer wanted it","","",""
"22","Sep 9, 2019 11:54:36 pm","Sep 9, 2019 11:54:45 pm","Complete","","","English","","1568098476_5d7748ac39aba3.00824750","","","","","","","","","I'm going to re-install","","",""
"23","Sep 10, 2019 2:25:53 am","Sep 10, 2019 2:25:59 am","Complete","","","English","","1568107552_5d776c20c5dd89.65344175","","","","","","","","","I no longer wanted it","","",""
"24","Sep 10, 2019 4:27:25 am","Sep 10, 2019 4:27:34 am","Complete","","","English","","1568114845_5d77889d2def70.32207676","","","","","","","","","It was not working correctly","","It slowed my network speeds",""
"25","Sep 10, 2019 6:28:18 am","Sep 10, 2019 6:28:57 am","Complete","","","English","","1568122097_5d77a4f1dd19c7.75310833","","","","","","","","","Other","private and login????","",""
"26","Sep 10, 2019 6:33:52 am","Sep 10, 2019 6:34:26 am","Complete","","","English","","1568122432_5d77a640149193.00860509","","","","","","","","","It was not working correctly","","Other","it simply cannot connect / switch on. "
"27","Sep 10, 2019 7:12:52 am","Sep 10, 2019 7:12:59 am","Complete","","","English","","1568124771_5d77af63e74fc2.19988121","","","","","","","","","I'm going to re-install","","",""
"28","Sep 10, 2019 7:18:47 am","Sep 10, 2019 7:19:22 am","Complete","","","English","","1568125126_5d77b0c6e5d4f8.71369922","","","","","","","","","Other","I dislike having to sign in and having it monitored.","",""
"29","Sep 10, 2019 7:33:26 am","Sep 10, 2019 7:33:42 am","Complete","","","English","","1568126006_5d77b4360353c1.46731288","","","","","","","","","Other","no log in","",""
"30","Sep 10, 2019 7:39:52 am","Sep 10, 2019 7:39:59 am","Complete","","","English","","1568126392_5d77b5b8857669.61002421","","","","","","","","","I'm going to re-install","","",""
"31","Sep 10, 2019 8:25:16 am","Sep 10, 2019 8:25:44 am","Complete","","","English","","1568129116_5d77c05c3221e6.36445859","","","","","","","","","It was not working correctly","","Other","It was constantly being disabled"
"32","Sep 10, 2019 8:27:03 am","Sep 10, 2019 8:27:56 am","Complete","","","English","","1568129223_5d77c0c757e456.24060542","","","","","","","","","It was not working correctly","","Other","work not start - proxy problem"
"33","Sep 10, 2019 8:43:29 am","Sep 10, 2019 8:43:39 am","Complete","","","English","","1568130208_5d77c4a0eb2ae9.29961743","","","","","","","","","I no longer wanted it","","",""
"34","Sep 10, 2019 9:00:26 am","Sep 10, 2019 9:01:19 am","Complete","","","English","","1568131226_5d77c89ac5c824.13615833","","","","","","","","","Other","requires logging in to yet another online account.","",""
"35","Sep 10, 2019 9:02:44 am","Sep 10, 2019 9:03:06 am","Complete","","","English","","1568131364_5d77c9246fd171.87798184","","","","","","","","","Other","It worked great -- just not needed for me at the moment!","",""
"36","Sep 10, 2019 9:07:54 am","Sep 10, 2019 9:07:59 am","Complete","","","English","","1568131674_5d77ca5acab364.62049807","","","","","","","","","I'm going to re-install","","",""
"37","Sep 10, 2019 9:22:43 am","Sep 10, 2019 9:23:12 am","Complete","","","English","","1568132563_5d77cdd3121ab8.19415153","","","","","","","","","It was not working correctly","","Other","It didn't even turn on. "
